,Product_name_Flipkart,Flipkart_price,Product_name_Amazon,Amazon_price
41,"Apple iPhone 14 Smartphone (128GB)","79,900","Apple iPhone 14 Smartphone (128GB)","82,990"
42,"Samsung Galaxy S23 Smartphone (128GB)","74,999","Samsung Galaxy S23 Smartphone (128GB)","77,990"
43,"OnePlus 11 Smartphone (256GB)","61,999","OnePlus 11 Smartphone (256GB)","64,999"
44,"Xiaomi 13 Pro Smartphone (256GB)","69,999","Xiaomi 13 Pro Smartphone (256GB)","72,990"
45,"Google Pixel 7 Smartphone (128GB)","59,999","Google Pixel 7 Smartphone (128GB)","62,990"
46,"Realme GT 2 Pro Smartphone (256GB)","49,999","Realme GT 2 Pro Smartphone (256GB)","52,990"
47,"Oppo Find X5 Pro Smartphone (256GB)","84,999","Oppo Find X5 Pro Smartphone (256GB)","87,990"
48,"Vivo X90 Pro Smartphone (256GB)","82,999","Vivo X90 Pro Smartphone (256GB)","85,990"
49,"Samsung Galaxy A54 Smartphone (128GB)","34,999","Samsung Galaxy A54 Smartphone (128GB)","37,990"
50,"Xiaomi Redmi Note 12 Pro Smartphone (128GB)","19,999","Xiaomi Redmi Note 12 Pro Smartphone (128GB)","22,990"
51,"OnePlus Nord 2T Smartphone (128GB)","28,999","OnePlus Nord 2T Smartphone (128GB)","31,990"
52,"iQOO 9 SE Smartphone (128GB)","33,990","iQOO 9 SE Smartphone (128GB)","36,990"
53,"Nokia G60 Smartphone (128GB)","29,999","Nokia G60 Smartphone (128GB)","32,990"
54,"Motorola Edge 30 Smartphone (128GB)","27,999","Motorola Edge 30 Smartphone (128GB)","30,990"
55,"Huawei P50 Smartphone (256GB)","61,990","Huawei P50 Smartphone (256GB)","64,990"
56,"Sony Xperia 1 IV Smartphone (256GB)","1,19,990","Sony Xperia 1 IV Smartphone (256GB)","1,22,990"
57,"Asus ROG Phone 6 Smartphone (512GB)","89,999","Asus ROG Phone 6 Smartphone (512GB)","92,990"
58,"LG Wing Smartphone (128GB)","49,999","LG Wing Smartphone (128GB)","52,990"
59,"ZTE Axon 20 Smartphone (128GB)","34,999","ZTE Axon 20 Smartphone (128GB)","37,990"
60,"TCL 30 Pro Smartphone (256GB)","29,999","TCL 30 Pro Smartphone (256GB)","32,990"
